Timestamp, Person#, AnkleLeft_X, AnkleLeft_Y, AnkleLeft_Z, AnkleRight_X, AnkleRight_Y, AnkleRight_Z, ElbowLeft_X, ElbowLeft_Y, ElbowLeft_Z, ElbowRight_X, ElbowRight_Y, ElbowRight_Z, FootLeft_X, FootLeft_Y, FootLeft_Z, FootRight_X, FootRight_Y, FootRight_Z, HandLeft_X, HandLeft_Y, HandLeft_Z, HandRight_X, HandRight_Y, HandRight_Z, HandTipLeft_X, HandTipLeft_Y, HandTipLeft_Z, HandTipRight_X, HandTipRight_Y, HandTipRight_Z, Head_X, Head_Y, Head_Z, HipLeft_X, HipLeft_Y, HipLeft_Z, HipRight_X, HipRight_Y, HipRight_Z, KneeLeft_X, KneeLeft_Y, KneeLeft_Z, KneeRight_X, KneeRight_Y, KneeRight_Z, Neck_X, Neck_Y, Neck_Z, ShoulderLeft_X, ShoulderLeft_Y, ShoulderLeft_Z, ShoulderRight_X, ShoulderRight_Y, ShoulderRight_Z, SpineBase_X, SpineBase_Y, SpineBase_Z, SpineMid_X, SpineMid_Y, SpineMid_Z, SpineShoulder_X, SpineShoulder_Y, SpineShoulder_Z, ThumbLeft_X, ThumbLeft_Y, ThumbLeft_Z, ThumbRight_X, ThumbRight_Y, ThumbRight_Z, WristLeft_X, WristLeft_Y, WristLeft_Z, WristRight_X, WristRight_Y, WristRight_Z
635580175449289085, 0, -0.09118372, -0.8077608, 1.997071, 0.03032123, -0.8351648, 1.859924, -0.2294164, 0.07248613, 1.785044, 0.1043827, 0.01762147, 1.549326, -0.1292318, -0.8767998, 1.995507, -0.01813564, -0.8702654, 1.789822, -0.2542276, -0.1710159, 1.784771, 0.04921323, -0.1759017, 1.575149, -0.2437309, -0.2380498, 1.784759, 0.01718902, -0.2399365, 1.591204, -0.1117714, 0.4902753, 1.566727, -0.1443604, -0.1392655, 1.747973, -0.06159588, -0.1465905, 1.671535, -0.1294821, -0.4909877, 1.883212, 0.000643678, -0.508539, 1.772169, -0.05553403, 0.3777113, 1.59707, -0.1888773, 0.2872722, 1.728884, 0.05308469, 0.2477391, 1.536524, -0.104739, -0.1453801, 1.73884, -0.08001483, 0.1205029, 1.673405, -0.06163814, 0.3147016, 1.617992, -0.2248403, -0.1667747, 1.745882, 0.01661039, -0.1641122, 1.548361, -0.2505429, -0.1287267, 1.79403, 0.06462048, -0.148662, 1.56564
635580175449439186, 0, -0.09056152, -0.8075234, 1.997155, 0.02978383, -0.8348996, 1.859847, -0.2311562, 0.06758596, 1.786666, 0.102925, 0.01768042, 1.550467, -0.1220697, -0.8789522, 1.997242, -0.01868019, -0.8699985, 1.789756, -0.2553469, -0.1740003, 1.78563, 0.04681101, -0.1756675, 1.577546, -0.248086, -0.2317818, 1.78131, 0.01285542, -0.2396177, 1.589079, -0.1138432, 0.4909484, 1.567639, -0.1458668, -0.1389801, 1.748696, -0.06336428, -0.1460928, 1.672601, -0.1306813, -0.490743, 1.883848, 0.0004256293, -0.508262, 1.772032, -0.05815564, 0.3786233, 1.59875, -0.1890729, 0.2872195, 1.728757, 0.05209836, 0.2478152, 1.536925, -0.1064113, -0.1449795, 1.739732, -0.08216781, 0.1211386, 1.674659, -0.06414586, 0.3155422, 1.619558, -0.2285658, -0.1689558, 1.74976, 0.01400171, -0.1645708, 1.550708, -0.2497483, -0.133643, 1.791057, 0.06279089, -0.1485141, 1.566765
635580175449579289, 0, -0.09056152, -0.8075234, 1.997155, 0.02978383, -0.8348996, 1.859847, -0.2311562, 0.06758596, 1.786666, 0.102925, 0.01768042, 1.550467, -0.1220697, -0.8789522, 1.997242, -0.01868019, -0.8699985, 1.789756, -0.2553469, -0.1740003, 1.78563, 0.04681101, -0.1756675, 1.577546, -0.248086, -0.2317818, 1.78131, 0.01285542, -0.2396177, 1.589079, -0.1138432, 0.4909484, 1.567639, -0.1458668, -0.1389801, 1.748696, -0.06336428, -0.1460928, 1.672601, -0.1306813, -0.490743, 1.883848, 0.0004256293, -0.508262, 1.772032, -0.05815564, 0.3786233, 1.59875, -0.1890729, 0.2872195, 1.728757, 0.05209836, 0.2478152, 1.536925, -0.1064113, -0.1449795, 1.739732, -0.08216781, 0.1211386, 1.674659, -0.06414586, 0.3155422, 1.619558, -0.2285658, -0.1689558, 1.74976, 0.01400171, -0.1645708, 1.550708, -0.2497483, -0.133643, 1.791057, 0.06279089, -0.1485141, 1.566765
635580175449819459, 0, -0.09061067, -0.8073057, 1.997187, 0.02895909, -0.8346952, 1.859831, -0.2326592, 0.0663716, 1.787772, 0.1008149, 0.01761049, 1.550825, -0.1278122, -0.8756897, 1.998854, -0.01923964, -0.8698679, 1.789539, -0.2583639, -0.1735905, 1.785957, 0.04510936, -0.1753648, 1.577257, -0.2489896, -0.2349755, 1.790524, 0.0125661, -0.2417227, 1.593778, -0.1170302, 0.491259, 1.569098, -0.1471107, -0.1388448, 1.748927, -0.06432216, -0.1458778, 1.672672, -0.1319987, -0.4905398, 1.884231, 0.0002157539, -0.5081819, 1.771441, -0.06097259, 0.3789166, 1.599973, -0.1944414, 0.2873861, 1.730613, 0.0507452, 0.2479213, 1.53732, -0.1075303, -0.144794, 1.739882, -0.08406521, 0.1213836, 1.675248, -0.06672411, 0.3158255, 1.620604, -0.2276321, -0.1672655, 1.746273, 0.01110866, -0.1679526, 1.551373, -0.2554458, -0.1309927, 1.795241, 0.06006779, -0.14838, 1.567449
635580175449939541, 0, -0.09061067, -0.8073057, 1.997187, 0.02895909, -0.8346952, 1.859831, -0.2326592, 0.0663716, 1.787772, 0.1008149, 0.01761049, 1.550825, -0.1278122, -0.8756897, 1.998854, -0.01923964, -0.8698679, 1.789539, -0.2583639, -0.1735905, 1.785957, 0.04510936, -0.1753648, 1.577257, -0.2489896, -0.2349755, 1.790524, 0.0125661, -0.2417227, 1.593778, -0.1170302, 0.491259, 1.569098, -0.1471107, -0.1388448, 1.748927, -0.06432216, -0.1458778, 1.672672, -0.1319987, -0.4905398, 1.884231, 0.0002157539, -0.5081819, 1.771441, -0.06097259, 0.3789166, 1.599973, -0.1944414, 0.2873861, 1.730613, 0.0507452, 0.2479213, 1.53732, -0.1075303, -0.144794, 1.739882, -0.08406521, 0.1213836, 1.675248, -0.06672411, 0.3158255, 1.620604, -0.2276321, -0.1672655, 1.746273, 0.01110866, -0.1679526, 1.551373, -0.2554458, -0.1309927, 1.795241, 0.06006779, -0.14838, 1.567449
635580175450169709, 0, -0.09124744, -0.8072141, 1.997402, 0.0306548, -0.8340786, 1.860254, -0.2349173, 0.0655456, 1.789444, 0.09849907, 0.01766041, 1.551497, -0.1267512, -0.8763167, 1.9993, -0.01749165, -0.8692829, 1.789899, -0.2592892, -0.1746813, 1.787098, 0.04119027, -0.1765125, 1.577309, -0.2512869, -0.234748, 1.787729, 0.01128712, -0.2410748, 1.595179, -0.1193804, 0.4915936, 1.569583, -0.1485991, -0.1387491, 1.749231, -0.06556428, -0.1456897, 1.672681, -0.1327914, -0.490454, 1.884476, -0.000102967, -0.508019, 1.77099, -0.06306478, 0.3794196, 1.60055, -0.1970387, 0.2874631, 1.731471, 0.0495657, 0.248169, 1.53755, -0.1089161, -0.1446443, 1.740033, -0.08585171, 0.121703, 1.675616, -0.06875139, 0.3162827, 1.62113, -0.2322693, -0.1646021, 1.748158, 0.006381705, -0.172139, 1.550706, -0.2579839, -0.1303514, 1.79688, 0.05749461, -0.1483226, 1.567756
635580175450299796, 0, -0.09124744, -0.8072141, 1.997402, 0.0306548, -0.8340786, 1.860254, -0.2349173, 0.0655456, 1.789444, 0.09849907, 0.01766041, 1.551497, -0.1267512, -0.8763167, 1.9993, -0.01749165, -0.8692829, 1.789899, -0.2592892, -0.1746813, 1.787098, 0.04119027, -0.1765125, 1.577309, -0.2512869, -0.234748, 1.787729, 0.01128712, -0.2410748, 1.595179, -0.1193804, 0.4915936, 1.569583, -0.1485991, -0.1387491, 1.749231, -0.06556428, -0.1456897, 1.672681, -0.1327914, -0.490454, 1.884476, -0.000102967, -0.508019, 1.77099, -0.06306478, 0.3794196, 1.60055, -0.1970387, 0.2874631, 1.731471, 0.0495657, 0.248169, 1.53755, -0.1089161, -0.1446443, 1.740033, -0.08585171, 0.121703, 1.675616, -0.06875139, 0.3162827, 1.62113, -0.2322693, -0.1646021, 1.748158, 0.006381705, -0.172139, 1.550706, -0.2579839, -0.1303514, 1.79688, 0.05749461, -0.1483226, 1.567756
635580175450549972, 0, -0.09208696, -0.8069128, 1.997639, 0.03368661, -0.8323945, 1.861988, -0.2370702, 0.06712316, 1.791094, 0.09520975, 0.02047923, 1.55147, -0.1270137, -0.8765836, 1.998628, -0.01442871, -0.8676413, 1.79157, -0.2604691, -0.174346, 1.787276, 0.03967719, -0.1757276, 1.577282, -0.2493158, -0.2339272, 1.784258, 0.007311158, -0.2398622, 1.591913, -0.1216179, 0.4917393, 1.570155, -0.1508932, -0.1381625, 1.75019, -0.06741446, -0.1450303, 1.672872, -0.133997, -0.4901695, 1.884779, -0.0005303547, -0.5073136, 1.770703, -0.06555784, 0.3796812, 1.6015, -0.1992766, 0.2886408, 1.731884, 0.04297975, 0.2507659, 1.541785, -0.1110044, -0.1440075, 1.740584, -0.08819695, 0.1221695, 1.676385, -0.07121813, 0.3165979, 1.622038, -0.227944, -0.1642393, 1.74484, 0.006791241, -0.1625723, 1.550694, -0.2584735, -0.1301638, 1.796991, 0.056365, -0.1461172, 1.567169
635580175450650050, 0, -0.09208696, -0.8069128, 1.997639, 0.03368661, -0.8323945, 1.861988, -0.2370702, 0.06712316, 1.791094, 0.09520975, 0.02047923, 1.55147, -0.1270137, -0.8765836, 1.998628, -0.01442871, -0.8676413, 1.79157, -0.2604691, -0.174346, 1.787276, 0.03967719, -0.1757276, 1.577282, -0.2493158, -0.2339272, 1.784258, 0.007311158, -0.2398622, 1.591913, -0.1216179, 0.4917393, 1.570155, -0.1508932, -0.1381625, 1.75019, -0.06741446, -0.1450303, 1.672872, -0.133997, -0.4901695, 1.884779, -0.0005303547, -0.5073136, 1.770703, -0.06555784, 0.3796812, 1.6015, -0.1992766, 0.2886408, 1.731884, 0.04297975, 0.2507659, 1.541785, -0.1110044, -0.1440075, 1.740584, -0.08819695, 0.1221695, 1.676385, -0.07121813, 0.3165979, 1.622038, -0.227944, -0.1642393, 1.74484, 0.006791241, -0.1625723, 1.550694, -0.2584735, -0.1301638, 1.796991, 0.056365, -0.1461172, 1.567169
635580175450920243, 0, -0.09304304, -0.8065093, 1.997951, 0.03290055, -0.831912, 1.861668, -0.2382182, 0.06806321, 1.791721, 0.09169815, 0.02160402, 1.551809, -0.1204026, -0.8810659, 1.992327, -0.01523835, -0.8671543, 1.791276, -0.2623129, -0.1734587, 1.788824, 0.04001419, -0.1752067, 1.577613, -0.2510185, -0.2330294, 1.78187, 0.009121597, -0.240538, 1.594216, -0.1239486, 0.4921396, 1.570882, -0.1528343, -0.1375991, 1.750916, -0.06927373, -0.1445361, 1.673131, -0.1351298, -0.4897404, 1.885202, -0.0009449124, -0.5067313, 1.77056, -0.06737359, 0.3800946, 1.601926, -0.2004604, 0.2894018, 1.731959, 0.03923072, 0.252002, 1.543622, -0.1129449, -0.1434676, 1.741079, -0.09011766, 0.1226506, 1.676865, -0.07306732, 0.3170291, 1.62248, -0.2370263, -0.1602506, 1.75056, 0.007246926, -0.1622004, 1.55003, -0.2581049, -0.1286823, 1.79585, 0.05630596, -0.1457826, 1.567295
635580175450970276, 0, -0.09304304, -0.8065093, 1.997951, 0.03290055, -0.831912, 1.861668, -0.2382182, 0.06806321, 1.791721, 0.09169815, 0.02160402, 1.551809, -0.1204026, -0.8810659, 1.992327, -0.01523835, -0.8671543, 1.791276, -0.2623129, -0.1734587, 1.788824, 0.04001419, -0.1752067, 1.577613, -0.2510185, -0.2330294, 1.78187, 0.009121597, -0.240538, 1.594216, -0.1239486, 0.4921396, 1.570882, -0.1528343, -0.1375991, 1.750916, -0.06927373, -0.1445361, 1.673131, -0.1351298, -0.4897404, 1.885202, -0.0009449124, -0.5067313, 1.77056, -0.06737359, 0.3800946, 1.601926, -0.2004604, 0.2894018, 1.731959, 0.03923072, 0.252002, 1.543622, -0.1129449, -0.1434676, 1.741079, -0.09011766, 0.1226506, 1.676865, -0.07306732, 0.3170291, 1.62248, -0.2370263, -0.1602506, 1.75056, 0.007246926, -0.1622004, 1.55003, -0.2581049, -0.1286823, 1.79585, 0.05630596, -0.1457826, 1.567295
635580175451300509, 0, -0.09304304, -0.8065093, 1.997951, 0.03290055, -0.831912, 1.861668, -0.2382182, 0.06806321, 1.791721, 0.09169815, 0.02160402, 1.551809, -0.1204026, -0.8810659, 1.992327, -0.01523835, -0.8671543, 1.791276, -0.2623129, -0.1734587, 1.788824, 0.04001419, -0.1752067, 1.577613, -0.2510185, -0.2330294, 1.78187, 0.009121597, -0.240538, 1.594216, -0.1239486, 0.4921396, 1.570882, -0.1528343, -0.1375991, 1.750916, -0.06927373, -0.1445361, 1.673131, -0.1351298, -0.4897404, 1.885202, -0.0009449124, -0.5067313, 1.77056, -0.06737359, 0.3800946, 1.601926, -0.2004604, 0.2894018, 1.731959, 0.03923072, 0.252002, 1.543622, -0.1129449, -0.1434676, 1.741079, -0.09011766, 0.1226506, 1.676865, -0.07306732, 0.3170291, 1.62248, -0.2370263, -0.1602506, 1.75056, 0.007246926, -0.1622004, 1.55003, -0.2581049, -0.1286823, 1.79585, 0.05630596, -0.1457826, 1.567295
635580175451340537, 0, -0.09111658, -0.806183, 1.997297, 0.03053737, -0.8318404, 1.86132, -0.2389401, 0.06903094, 1.791723, 0.09014885, 0.02208138, 1.55188, -0.1251883, -0.8751143, 2.001375, -0.0175218, -0.8670919, 1.790908, -0.2628737, -0.1740844, 1.788633, 0.03770164, -0.1745014, 1.577319, -0.2526343, -0.236481, 1.789914, 0.006960563, -0.2408764, 1.593879, -0.1260893, 0.4923428, 1.57141, -0.1543269, -0.1373625, 1.751145, -0.07070874, -0.1442121, 1.673398, -0.1364741, -0.489457, 1.885529, -0.001629159, -0.5063296, 1.770706, -0.06932473, 0.3802372, 1.602278, -0.2016594, 0.2904255, 1.731852, 0.03708936, 0.2524332, 1.544586, -0.1144463, -0.1431791, 1.741335, -0.09186294, 0.1228719, 1.677179, -0.07497156, 0.3171924, 1.622824, -0.2351015, -0.1646137, 1.749578, 0.0001050979, -0.1749938, 1.55284, -0.2586357, -0.1285774, 1.795865, 0.05451541, -0.1452436, 1.567444
635580175451650755, 0, -0.09111658, -0.806183, 1.997297, 0.03053737, -0.8318404, 1.86132, -0.2389401, 0.06903094, 1.791723, 0.09014885, 0.02208138, 1.55188, -0.1251883, -0.8751143, 2.001375, -0.0175218, -0.8670919, 1.790908, -0.2628737, -0.1740844, 1.788633, 0.03770164, -0.1745014, 1.577319, -0.2526343, -0.236481, 1.789914, 0.006960563, -0.2408764, 1.593879, -0.1260893, 0.4923428, 1.57141, -0.1543269, -0.1373625, 1.751145, -0.07070874, -0.1442121, 1.673398, -0.1364741, -0.489457, 1.885529, -0.001629159, -0.5063296, 1.770706, -0.06932473, 0.3802372, 1.602278, -0.2016594, 0.2904255, 1.731852, 0.03708936, 0.2524332, 1.544586, -0.1144463, -0.1431791, 1.741335, -0.09186294, 0.1228719, 1.677179, -0.07497156, 0.3171924, 1.622824, -0.2351015, -0.1646137, 1.749578, 0.0001050979, -0.1749938, 1.55284, -0.2586357, -0.1285774, 1.795865, 0.05451541, -0.1452436, 1.567444
